age;gender;maritalStatus;education;employmentStatus;occupationSector;dependents;homeOwnership;hasMortgage;annualIncome;loanType;purpose;loanAmount;termMonths;interestRate;ltv;dti;previousLoansCount;previousDefaultsCount;target_PD;default
35;Mujer;Casado;Grado;Indefinido;Otros;2;Propia_Hipoteca;Si;21223.54;Auto;Compra_Vehiculo;11588.8;56;0.0656;0.0;0.1361;3;1;0.022043;0
29;Mujer;Soltero;Formacion Profesional;Funcionario;Sector Publico;0;Cedida;No;34716.95;Consumo;Viajes;27514.78;9;0.0851;0.0;0.95;1;0;0.007635;0
45;Hombre;Casado;Bachillerato;Indefinido;Ventas;1;Propia_Pagada;No;42385.61;Consumo;Viajes;28400.17;19;0.1457;0.0;0.4764;0;0;0.00566;0
31;Mujer;Soltero;Formacion Profesional;Indefinido;Construccion;2;Propia_Hipoteca;Si;48082.12;Consumo;Tecnologia;14705.93;24;0.1125;0.0;0.1715;3;0;0.00111;0
25;Mujer;Divorciado;Grado;Inactivo;Otros;0;Propia_Hipoteca;Si;27065.42;Consumo;Electrodomesticos;21597.89;6;0.0934;0.0;0.95;1;0;0.014459;0
59;Mujer;Divorciado;Posgrado;Temporal;Tecnologia;2;Cedida;No;72945.6;Consumo;Otros;14939.81;10;0.1357;0.0;0.2613;7;0;0.001881;0
39;Hombre;Casado;Posgrado;Temporal;Educacion;3;Propia_Pagada;No;44528.05;Personal;Educacion;43066.53;21;0.1052;0.0;0.6075;0;0;0.022479;0
42;Mujer;Viudo;Bachillerato;Autonomo;Salud;0;Propia_Hipoteca;Si;30671.67;Hipotecario;Compra_Vivienda;182686.02;344;0.0305;0.9723;0.3121;8;0;0.00387;0
24;Hombre;Soltero;Grado;Autonomo;Hosteleria;0;Cedida;No;12372.57;Auto;Compra_Vehiculo;15031.04;45;0.0687;0.0;0.3684;0;0;0.002834;0
35;Hombre;Casado;Formacion Profesional;Indefinido;Construccion;1;Propia_Hipoteca;Si;12984.34;Personal;Otros;12879.36;16;0.0911;0.0;0.7928;0;4;0.105106;1
43;Hombre;Soltero;Secundaria;Funcionario;Sector Publico;1;Propia_Pagada;No;24477.4;Hipotecario;Compra_Vivienda;80000.0;249;0.0125;0.4969;0.179;2;0;0.000472;0
28;Hombre;Soltero;Posgrado;Temporal;Educacion;0;Alquiler;No;15374.37;Consumo;Tecnologia;9628.86;18;0.0982;0.0;0.4507;3;0;0.010876;0
46;Mujer;Casado;Primaria;Funcionario;Sector Publico;1;Propia_Hipoteca;Si;28041.02;Hipotecario;Compra_Vivienda;144559.21;258;0.031;0.527;0.3289;4;0;0.000753;0
34;Mujer;Casado;Secundaria;Desempleado;Hosteleria;2;Propia_Hipoteca;Si;2441.48;Consumo;Tecnologia;1466.44;20;0.1369;0.0;0.4051;1;4;0.714649;1
38;Hombre;Casado;Bachillerato;Desempleado;Ventas;2;Propia_Hipoteca;Si;47.0;Consumo;Viajes;500.0;15;0.1246;0.0;0.95;2;0;0.435784;1
34;Mujer;Viudo;Primaria;Temporal;Ventas;1;Alquiler;No;15925.16;Personal;Viajes;4801.73;25;0.1441;0.0;0.1684;1;0;0.003277;0
64;Hombre;Viudo;Formacion Profesional;Autonomo;Agropecuario;1;Propia_Hipoteca;Si;111953.35;Personal;Salud;80000.0;27;0.1309;0.0;0.3684;0;0;0.000853;0
41;Hombre;Casado;Formacion Profesional;Funcionario;Sector Publico;2;Propia_Pagada;No;33418.61;Personal;Otros;9894.14;54;0.0956;0.0;0.0812;3;0;0.000507;0
29;Mujer;Soltero;Grado;Temporal;Tecnologia;0;Alquiler;No;55461.28;Hipotecario;Reforma_Vivienda;259685.95;185;0.0147;0.3339;0.3395;1;0;0.002654;0
51;Mujer;Casado;Grado;Temporal;Ventas;2;Cedida;No;7009.96;Auto;Compra_Vehiculo;8207.6;83;0.0534;0.0;0.2028;3;0;0.006246;0
27;Hombre;Soltero;Primaria;Autonomo;Ventas;0;Cedida;Si;5324.09;Auto;Compra_Vehiculo;5000.0;38;0.0475;0.0;0.32;1;0;0.001824;0
44;Hombre;Casado;Grado;Indefinido;Hosteleria;2;Propia_Pagada;No;22491.79;Hipotecario;Compra_Vivienda;98093.84;187;0.0353;0.3972;0.3643;4;0;0.001701;0
18;Hombre;Soltero;Bachillerato;Desempleado;Otros;0;Alquiler;No;379.98;Consumo;Tecnologia;500.0;23;0.0992;0.0;0.7567;2;0;0.230656;1
26;Hombre;Soltero;Formacion Profesional;Autonomo;Tecnologia;1;Alquiler;No;89768.32;Hipotecario;Reforma_Vivienda;467073.25;229;0.0145;0.805;0.3122;2;0;0.001216;0
44;Hombre;Casado;Secundaria;Temporal;Salud;1;Propia_Hipoteca;Si;60634.3;Hipotecario;Compra_Vivienda;269793.91;288;0.0135;1.0176;0.2172;4;0;0.0021;0
50;Mujer;Soltero;Posgrado;Temporal;Ventas;1;Propia_Hipoteca;Si;6239.66;Auto;Compra_Vehiculo;9304.59;51;0.072;0.0;0.4084;4;0;0.015671;0
44;Mujer;Divorciado;Grado;Temporal;Tecnologia;1;Cedida;No;24908.83;Hipotecario;Reforma_Vivienda;144321.39;336;0.0216;1.1887;0.276;3;0;0.011859;0
40;Hombre;Casado;Bachillerato;Funcionario;Educacion;3;Propia_Hipoteca;Si;20930.32;Hipotecario;Compra_Vivienda;84712.45;246;0.0275;0.8589;0.2585;1;0;0.001121;0
38;Hombre;Casado;Grado;Indefinido;Hosteleria;2;Alquiler;No;20098.85;Consumo;Viajes;8860.38;7;0.1035;0.0;0.782;2;1;0.064102;1
24;Hombre;Soltero;Bachillerato;Desempleado;Salud;0;Alquiler;No;1382.73;Consumo;Otros;500.0;18;0.113;0.0;0.2632;0;0;0.089107;1
33;Hombre;Soltero;Posgrado;Indefinido;Educacion;1;Propia_Pagada;No;23806.53;Auto;Compra_Vehiculo;34455.24;77;0.0788;0.0;0.2881;1;0;0.002376;0
36;Mujer;Casado;Bachillerato;Indefinido;Tecnologia;1;Propia_Pagada;No;8912.17;Consumo;Otros;4449.12;21;0.1245;0.0;0.3189;1;4;0.04939;0
54;Hombre;Casado;Formacion Profesional;Indefinido;Construccion;2;Propia_Hipoteca;Si;20536.83;Personal;Consolidacion_Deuda;35881.57;28;0.1078;0.0;0.8503;5;0;0.012021;0
46;Mujer;Casado;Bachillerato;Autonomo;Sector Publico;1;Cedida;No;100878.2;Auto;Compra_Vehiculo;39490.58;83;0.0475;0.0;0.0665;3;0;0.001243;0
20;Mujer;Soltero;Secundaria;Autonomo;Sector Publico;0;Alquiler;No;64218.19;Auto;Compra_Vehiculo;60000.0;69;0.0475;0.0;0.186;0;0;0.001436;0
45;Hombre;Casado;Secundaria;Indefinido;Otros;5;Alquiler;No;21743.81;Personal;Reforma_Hogar;18454.49;58;0.0873;0.0;0.2159;4;0;0.001743;0
37;Mujer;Soltero;Grado;Indefinido;Ventas;0;Propia_Pagada;No;33063.75;Hipotecario;Compra_Vivienda;129449.09;307;0.0216;0.668;0.1993;1;0;0.002313;0
33;Mujer;Soltero;Formacion Profesional;Temporal;Salud;2;Alquiler;No;25189.49;Hipotecario;Compra_Vivienda;100161.07;338;0.0242;1.1811;0.1947;3;0;0.007684;0
49;Hombre;Divorciado;Posgrado;Indefinido;Salud;3;Cedida;No;24291.16;Consumo;Tecnologia;18613.44;21;0.0662;0.0;0.4649;2;0;0.002753;0
54;Hombre;Divorciado;Formacion Profesional;Funcionario;Educacion;0;Alquiler;Si;16482.2;Personal;Reforma_Hogar;28439.31;39;0.0797;0.0;0.6044;0;0;0.004225;0
53;Hombre;Casado;Secundaria;Indefinido;Hosteleria;1;Propia_Pagada;No;10755.6;Personal;Educacion;17071.3;47;0.1199;0.0;0.5098;8;0;0.002325;0
31;Hombre;Casado;Secundaria;Indefinido;Agropecuario;0;Propia_Pagada;No;4551.56;Personal;Consolidacion_Deuda;7903.23;43;0.1252;0.0;0.6038;0;0;0.009942;0
38;Mujer;Casado;Formacion Profesional;Indefinido;Otros;2;Cedida;No;65629.54;Auto;Compra_Vehiculo;36017.53;48;0.0492;0.0;0.1514;2;0;0.001037;0
45;Mujer;Casado;Formacion Profesional;Autonomo;Salud;2;Propia_Hipoteca;Si;33352.06;Hipotecario;Compra_Vivienda;159309.02;189;0.0314;1.0674;0.3848;8;0;0.007035;0
53;Hombre;Casado;Primaria;Indefinido;Ventas;1;Propia_Hipoteca;Si;4244.05;Consumo;Viajes;730.06;8;0.0788;0.0;0.2657;2;2;0.018001;0
36;Hombre;Casado;Grado;Indefinido;Sector Publico;0;Propia_Hipoteca;Si;22449.11;Consumo;Viajes;13426.35;9;0.1348;0.0;0.8429;2;0;0.014004;0
39;Hombre;Casado;Primaria;Indefinido;Ventas;2;Alquiler;No;14205.78;Personal;Consolidacion_Deuda;10468.57;40;0.1483;0.0;0.2815;1;0;0.001777;0
28;Hombre;Soltero;Formacion Profesional;Indefinido;Tecnologia;0;Cedida;No;31328.86;Hipotecario;Reforma_Vivienda;157781.65;224;0.0229;0.6844;0.3318;2;0;0.00221;0
27;Mujer;Soltero;Formacion Profesional;Indefinido;Construccion;0;Cedida;No;14516.33;Auto;Compra_Vehiculo;6541.3;46;0.0717;0.0;0.1348;2;1;0.016998;0
51;Hombre;Casado;Posgrado;Indefinido;Salud;2;Cedida;No;29285.07;Consumo;Electrodomesticos;15953.86;13;0.0684;0.0;0.5232;3;0;0.004504;0
58;Mujer;Casado;Grado;Indefinido;Hosteleria;3;Propia_Hipoteca;Si;25256.95;Personal;Reforma_Hogar;49119.7;19;0.1473;0.0;0.95;4;0;0.021764;0
41;Hombre;Casado;Secundaria;Temporal;Otros;2;Propia_Hipoteca;Si;21884.15;Auto;Compra_Vehiculo;15505.61;42;0.0572;0.0;0.2239;8;0;0.004615;0
54;Mujer;Divorciado;Bachillerato;Funcionario;Educacion;1;Propia_Pagada;No;23341.71;Personal;Salud;24156.73;43;0.1107;0.0;0.3512;3;1;0.003561;0
46;Mujer;Casado;Posgrado;Autonomo;Construccion;1;Alquiler;No;3337.85;Consumo;Electrodomesticos;2445.62;24;0.1462;0.0;0.4247;3;0;0.006303;0
34;Mujer;Soltero;Secundaria;Inactivo;Hosteleria;2;Cedida;No;16072.54;Consumo;Tecnologia;2718.72;17;0.1074;0.0;0.1292;4;0;0.005415;0
46;Hombre;Divorciado;Secundaria;Indefinido;Ventas;0;Alquiler;No;26388.2;Consumo;Electrodomesticos;12130.31;6;0.1264;0.0;0.95;5;0;0.005841;0
60;Hombre;Divorciado;Grado;Indefinido;Ventas;0;Propia_Hipoteca;Si;29977.35;Hipotecario;Reforma_Vivienda;100486.93;185;0.0266;1.1635;0.2653;4;0;0.003594;0
41;Mujer;Viudo;Formacion Profesional;Funcionario;Sector Publico;0;Propia_Hipoteca;Si;24820.64;Consumo;Electrodomesticos;15100.34;17;0.0616;0.0;0.4496;9;0;0.001289;0
60;Mujer;Casado;Primaria;Indefinido;Agropecuario;3;Alquiler;No;31709.61;Personal;Otros;13246.33;52;0.1328;0.0;0.1273;8;0;0.002269;0
18;Mujer;Soltero;Bachillerato;Desempleado;Educacion;0;Alquiler;Si;4192.26;Consumo;Viajes;1706.94;11;0.0885;0.0;0.4641;1;0;0.138446;1
51;Hombre;Casado;Secundaria;Autonomo;Ventas;4;Propia_Hipoteca;Si;147660.86;Hipotecario;Compra_Vivienda;462855.06;288;0.0378;1.156;0.1988;0;0;0.002264;0
43;Hombre;Casado;Grado;Autonomo;Otros;2;Propia_Hipoteca;Si;4464.2;Auto;Compra_Vehiculo;6205.18;54;0.0574;0.0;0.3512;4;0;0.002047;0
38;Mujer;Divorciado;Bachillerato;Temporal;Otros;2;Propia_Hipoteca;Si;38711.87;Consumo;Otros;14409.61;6;0.1308;0.0;0.7731;1;0;0.026872;0
43;Mujer;Soltero;Secundaria;Indefinido;Otros;0;Propia_Pagada;No;14527.84;Personal;Viajes;17978.13;59;0.1051;0.0;0.3234;3;0;0.002111;0
18;Hombre;Soltero;Primaria;Desempleado;Salud;0;Propia_Pagada;No;3618.82;Consumo;Electrodomesticos;1428.03;19;0.0726;0.0;0.2646;0;0;0.060926;1
39;Hombre;Casado;Formacion Profesional;Indefinido;Otros;1;Propia_Pagada;No;12874.17;Consumo;Otros;4492.9;18;0.0706;0.0;0.2459;2;0;0.001032;0
46;Mujer;Casado;Bachillerato;Temporal;Ventas;2;Alquiler;No;25021.77;Hipotecario;Reforma_Vivienda;101944.42;280;0.022;0.8501;0.2234;5;0;0.010075;0
59;Hombre;Casado;Grado;Indefinido;Ventas;0;Alquiler;No;29324.82;Personal;Consolidacion_Deuda;53412.11;22;0.1408;0.0;0.95;4;0;0.0174;0
35;Hombre;Casado;Posgrado;Indefinido;Agropecuario;2;Propia_Pagada;No;37794.23;Consumo;Electrodomesticos;11654.74;8;0.0756;0.0;0.4758;5;0;0.002734;0
32;Mujer;Casado;Formacion Profesional;Indefinido;Salud;1;Propia_Hipoteca;Si;20424.48;Hipotecario;Compra_Vivienda;107418.08;211;0.0258;1.1112;0.3723;1;1;0.020729;0
35;Mujer;Divorciado;Formacion Profesional;Funcionario;Salud;1;Alquiler;No;19121.98;Hipotecario;Reforma_Vivienda;82077.79;353;0.0127;0.4854;0.175;2;0;0.001082;0
52;Mujer;Viudo;Posgrado;Temporal;Construccion;3;Propia_Pagada;No;32003.39;Personal;Salud;18562.9;43;0.0853;0.0;0.1884;7;0;0.004465;0
45;Mujer;Soltero;Secundaria;Funcionario;Salud;0;Cedida;No;24661.76;Hipotecario;Reforma_Vivienda;81411.24;297;0.0322;0.4277;0.1937;5;0;0.00074;0
35;Hombre;Casado;Posgrado;Indefinido;Educacion;3;Propia_Hipoteca;Si;34664.51;Personal;Otros;31789.34;31;0.0774;0.0;0.3928;1;0;0.002428;0
48;Hombre;Casado;Posgrado;Indefinido;Construccion;2;Propia_Pagada;No;25516.24;Auto;Compra_Vehiculo;18742.99;53;0.0452;0.0;0.1838;5;0;0.002737;0
43;Hombre;Casado;Grado;Indefinido;Ventas;0;Propia_Pagada;No;4267.75;Auto;Compra_Vehiculo;5000.0;57;0.0447;0.0;0.2742;4;0;0.002278;0
53;Mujer;Divorciado;Grado;Indefinido;Ventas;2;Propia_Pagada;No;21263.6;Personal;Viajes;27454.72;58;0.1277;0.0;0.3594;2;0;0.002417;0
33;Mujer;Casado;Bachillerato;Desempleado;Ventas;0;Propia_Hipoteca;Si;4000.12;Consumo;Otros;2567.29;11;0.1479;0.0;0.753;0;0;0.266198;1
38;Hombre;Divorciado;Primaria;Indefinido;Tecnologia;1;Propia_Hipoteca;Si;18950.42;Personal;Otros;20623.19;37;0.1227;0.0;0.4257;1;0;0.003651;0
37;Hombre;Casado;Sin Estudios;Temporal;Otros;2;Propia_Hipoteca;Si;3460.56;Personal;Salud;3289.18;45;0.0945;0.0;0.302;3;0;0.004409;0
24;Mujer;Soltero;Bachillerato;Temporal;Hosteleria;0;Cedida;Si;12740.94;Auto;Compra_Vehiculo;13408.05;63;0.0722;0.0;0.2414;0;1;0.043696;0
45;Mujer;Divorciado;Grado;Indefinido;Agropecuario;2;Propia_Pagada;No;61276.63;Personal;Educacion;58872.78;12;0.0653;0.0;0.95;3;0;0.004301;0
45;Hombre;Divorciado;Formacion Profesional;Indefinido;Hosteleria;0;Propia_Pagada;No;21813.01;Consumo;Otros;15073.09;10;0.0944;0.0;0.8655;0;0;0.006473;0
42;Mujer;Casado;Formacion Profesional;Funcionario;Salud;2;Alquiler;No;20528.84;Personal;Salud;6874.08;40;0.1306;0.0;0.1244;7;0;0.000544;0
39;Mujer;Divorciado;Bachillerato;Indefinido;Ventas;2;Propia_Hipoteca;Si;40168.28;Auto;Compra_Vehiculo;25962.21;82;0.0618;0.0;0.1162;2;0;0.002104;0
25;Hombre;Casado;Formacion Profesional;Temporal;Construccion;0;Alquiler;Si;5844.62;Auto;Compra_Vehiculo;5983.5;64;0.0693;0.0;0.2302;3;0;0.006233;0
36;Mujer;Casado;Formacion Profesional;Autonomo;Salud;2;Alquiler;No;205395.98;Hipotecario;Compra_Vivienda;500000.0;291;0.0102;0.4195;0.1133;0;0;0.000643;0
37;Hombre;Divorciado;Formacion Profesional;Temporal;Sector Publico;2;Propia_Hipoteca;Si;20272.04;Auto;Compra_Vehiculo;25715.26;63;0.0792;0.0;0.2961;0;0;0.005359;0
32;Hombre;Casado;Grado;Autonomo;Educacion;3;Propia_Pagada;No;21664.34;Personal;Reforma_Hogar;37373.2;57;0.0812;0.0;0.4389;0;0;0.006299;0
40;Hombre;Casado;Posgrado;Autonomo;Tecnologia;4;Propia_Hipoteca;Si;17429.41;Hipotecario;Reforma_Vivienda;80000.0;315;0.0368;0.507;0.273;0;1;0.053675;0
46;Mujer;Casado;Formacion Profesional;Indefinido;Salud;4;Propia_Hipoteca;Si;33556.2;Consumo;Otros;10653.46;14;0.1386;0.0;0.2963;1;0;0.001526;0
64;Mujer;Viudo;Primaria;Temporal;Ventas;0;Propia_Hipoteca;Si;5327.79;Auto;Compra_Vehiculo;5000.0;78;0.0693;0.0;0.1797;6;0;0.006448;0
44;Hombre;Casado;Posgrado;Autonomo;Ventas;2;Alquiler;No;47724.74;Hipotecario;Compra_Vivienda;286141.81;274;0.0258;0.5123;0.3477;2;0;0.001364;0
45;Hombre;Divorciado;Grado;Indefinido;Sector Publico;0;Propia_Hipoteca;Si;87663.43;Personal;Consolidacion_Deuda;53245.64;34;0.0615;0.0;0.2341;7;0;0.000662;0
41;Mujer;Divorciado;Grado;Funcionario;Sector Publico;1;Alquiler;No;37672.64;Consumo;Electrodomesticos;28023.41;16;0.1279;0.0;0.6098;4;0;0.004735;0
18;Mujer;Soltero;Bachillerato;Indefinido;Salud;0;Alquiler;No;25502.64;Hipotecario;Compra_Vivienda;108106.76;300;0.0181;0.4629;0.2109;1;0;0.001819;0
41;Mujer;Divorciado;Formacion Profesional;Funcionario;Sector Publico;3;Alquiler;Si;30142.47;Auto;Compra_Vehiculo;32592.46;56;0.069;0.0;0.2717;4;0;0.000699;0
42;Hombre;Casado;Secundaria;Indefinido;Otros;1;Propia_Pagada;No;11013.7;Personal;Consolidacion_Deuda;16379.78;53;0.1034;0.0;0.4209;5;1;0.034968;0
71;Hombre;Viudo;Bachillerato;Inactivo;Salud;0;Propia_Pagada;No;24530.82;Consumo;Tecnologia;14939.03;8;0.1161;0.0;0.95;2;0;0.014691;0
39;Hombre;Casado;Bachillerato;Indefinido;Salud;3;Alquiler;No;7136.54;Consumo;Otros;4609.13;24;0.1055;0.0;0.3596;3;0;0.001359;0
45;Hombre;Divorciado;Grado;Temporal;Sector Publico;2;Alquiler;No;30081.97;Consumo;Tecnologia;16657.86;24;0.066;0.0;0.2963;2;2;0.039979;0
41;Hombre;Soltero;Primaria;Indefinido;Ventas;1;Cedida;No;14494.87;Consumo;Tecnologia;2049.07;23;0.141;0.0;0.0846;8;0;0.002392;0
27;Hombre;Casado;Secundaria;Temporal;Tecnologia;2;Alquiler;Si;14223.64;Personal;Consolidacion_Deuda;12820.33;38;0.0719;0.0;0.3191;1;0;0.004532;0
55;Hombre;Casado;Secundaria;Autonomo;Sector Publico;1;Propia_Hipoteca;Si;73088.06;Personal;Consolidacion_Deuda;80000.0;19;0.1092;0.0;0.7559;3;1;0.103138;1
51;Hombre;Casado;Formacion Profesional;Indefinido;Hosteleria;0;Propia_Pagada;No;10666.64;Auto;Compra_Vehiculo;9886.78;46;0.044;0.0;0.2632;7;0;0.001588;0
51;Mujer;Soltero;Sin Estudios;Autonomo;Construccion;0;Propia_Pagada;No;7947.05;Consumo;Tecnologia;3230.82;6;0.0615;0.0;0.8277;0;0;0.013099;0
31;Hombre;Casado;Grado;Indefinido;Ventas;2;Cedida;No;29859.98;Hipotecario;Reforma_Vivienda;157740.86;291;0.0237;0.5967;0.2865;0;0;0.002389;0
58;Mujer;Soltero;Secundaria;Indefinido;Ventas;1;Propia_Pagada;No;9954.03;Consumo;Electrodomesticos;2538.39;17;0.1219;0.0;0.1969;4;1;0.009722;0
25;Hombre;Soltero;Formacion Profesional;Temporal;Salud;0;Alquiler;No;8806.93;Auto;Compra_Vehiculo;6708.96;61;0.0422;0.0;0.1668;0;0;0.006067;0
49;Hombre;Casado;Posgrado;Indefinido;Ventas;2;Propia_Hipoteca;Si;18853.97;Personal;Otros;26694.33;12;0.1453;0.0;0.95;4;1;0.094573;1
68;Mujer;Soltero;Grado;Inactivo;Hosteleria;0;Propia_Hipoteca;Si;12312.16;Consumo;Viajes;4413.04;17;0.15;0.0;0.2824;6;0;0.00226;0
30;Mujer;Divorciado;Posgrado;Funcionario;Educacion;0;Alquiler;No;32750.68;Hipotecario;Compra_Vivienda;141812.25;332;0.0381;0.8996;0.2534;2;0;0.001505;0
35;Mujer;Casado;Formacion Profesional;Indefinido;Hosteleria;3;Propia_Hipoteca;Si;39328.15;Consumo;Tecnologia;20002.45;15;0.1379;0.0;0.4453;3;0;0.005015;0
43;Mujer;Divorciado;Formacion Profesional;Funcionario;Sector Publico;2;Alquiler;No;45601.55;Personal;Reforma_Hogar;32982.13;30;0.0985;0.0;0.3276;1;0;0.000405;0
35;Hombre;Casado;Secundaria;Funcionario;Educacion;3;Propia_Hipoteca;Si;22703.54;Hipotecario;Compra_Vivienda;105252.4;333;0.0389;0.8558;0.2735;0;0;0.001647;0
23;Mujer;Soltero;Formacion Profesional;Temporal;Hosteleria;0;Propia_Pagada;No;38898.05;Hipotecario;Compra_Vivienda;190267.37;301;0.0196;0.5232;0.2469;1;3;0.112687;1
42;Mujer;Casado;Grado;Indefinido;Construccion;1;Propia_Hipoteca;Si;14209.26;Consumo;Otros;3208.19;11;0.1184;0.0;0.2611;7;0;0.001315;0
29;Hombre;Casado;Secundaria;Desempleado;Hosteleria;4;Alquiler;Si;1519.88;Consumo;Tecnologia;790.37;18;0.1435;0.0;0.3874;3;0;0.049504;0
47;Mujer;Casado;Grado;Autonomo;Agropecuario;2;Alquiler;No;2194.81;Consumo;Tecnologia;500.0;20;0.0765;0.0;0.146;4;0;0.004291;0
30;Mujer;Divorciado;Bachillerato;Indefinido;Hosteleria;0;Propia_Hipoteca;Si;9477.01;Personal;Reforma_Hogar;14493.57;45;0.07;0.0;0.4649;0;0;0.005794;0
60;Hombre;Casado;Posgrado;Funcionario;Salud;1;Propia_Hipoteca;Si;42887.4;Consumo;Otros;25141.38;13;0.0699;0.0;0.5634;4;0;0.001434;0
32;Mujer;Divorciado;Formacion Profesional;Temporal;Construccion;1;Alquiler;No;13194.2;Auto;Compra_Vehiculo;9286.97;61;0.0693;0.0;0.1647;0;0;0.003442;0
38;Mujer;Casado;Grado;Desempleado;Ventas;4;Cedida;No;401.2;Consumo;Otros;500.0;8;0.1087;0.0;0.95;1;5;0.883791;1
51;Hombre;Casado;Grado;Autonomo;Sector Publico;0;Propia_Hipoteca;Si;18913.4;Consumo;Viajes;8383.35;14;0.1327;0.0;0.4122;3;0;0.007636;0
27;Mujer;Soltero;Posgrado;Autonomo;Ventas;0;Propia_Pagada;No;10725.88;Auto;Compra_Vehiculo;5000.0;53;0.0624;0.0;0.121;1;0;0.002604;0
44;Mujer;Soltero;Formacion Profesional;Autonomo;Sector Publico;2;Propia_Pagada;No;20191.27;Personal;Reforma_Hogar;9940.75;37;0.1166;0.0;0.1909;1;0;0.003072;0
57;Hombre;Viudo;Bachillerato;Indefinido;Construccion;0;Alquiler;No;57528.28;Consumo;Electrodomesticos;9570.65;7;0.0932;0.0;0.2941;7;0;0.000986;0
22;Mujer;Soltero;Bachillerato;Indefinido;Otros;0;Alquiler;No;21024.71;Consumo;Electrodomesticos;4014.17;23;0.1419;0.0;0.1144;0;0;0.001624;0
44;Hombre;Divorciado;Formacion Profesional;Indefinido;Construccion;1;Propia_Hipoteca;Si;19059.62;Hipotecario;Reforma_Vivienda;110359.89;356;0.0377;1.1961;0.3245;4;0;0.003453;0
45;Mujer;Soltero;Bachillerato;Indefinido;Construccion;1;Alquiler;No;46592.6;Hipotecario;Reforma_Vivienda;160945.03;320;0.0344;0.5904;0.198;6;0;0.001165;0
51;Mujer;Soltero;Posgrado;Indefinido;Otros;1;Propia_Pagada;No;46213.12;Personal;Salud;75017.62;46;0.1346;0.0;0.5444;2;0;0.002705;0
27;Hombre;Soltero;Secundaria;Indefinido;Sector Publico;0;Cedida;No;7937.8;Personal;Reforma_Hogar;3528.72;46;0.0836;0.0;0.1359;2;0;0.001294;0
26;Mujer;Casado;Bachillerato;Indefinido;Otros;2;Alquiler;No;10992.5;Consumo;Electrodomesticos;3997.79;24;0.1177;0.0;0.205;2;0;0.001684;0
48;Mujer;Soltero;Secundaria;Indefinido;Sector Publico;0;Propia_Hipoteca;Si;10153.58;Auto;Compra_Vehiculo;13593.67;70;0.073;0.0;0.2825;2;0;0.00168;0
